id,LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PATHOLOGICAL_COMPLEXITY,PERCENT_COMMENTS,LOC_TOTAL,Defective
106,0,3,1,0,0,4,2,0.33,2,2,1,5,1,0,6,0,2,1,10.48,9.75,996.32,0.03,25,0.1,55.35,102.19,0.5,1,2,5,0.25,6,19,4,13,8,1,0,6,N
107,1,9,1,4,0,12,5,0.28,4,3,0.6,15,5,1,14,0,4,0.8,15.76,19.09,5743.08,0.1,64,0.05,319.06,300.83,1,4,6,12,0.24,28,36,11,15,21,1,22.22,18,N
108,0,5,0,2,0,6,3,0.27,2,1,0.33,8,3,1,9,0,3,1,17.56,6.75,800.12,0.04,29,0.15,44.45,118.54,1,2,3,7,0.2,12,17,8,9,15,1,18.18,11,N
109,0,3,3,2,0,4,2,0.15,2,2,1,8,1,0,11,0,2,1,23.6,8.1,1548.37,0.06,45,0.12,86.02,191.16,0.5,1,2,8,0.13,18,27,10,9,16,1,15.38,13,N
110,1,3,1,1,0,4,2,0.33,2,1,0.5,8,1,0,5,0,0,0,10.34,10.83,1213.33,0.04,28,0.09,67.41,112,0.5,1,2,8,0.22,13,15,6,10,9,1,16.67,6,N
111,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,0.25,2,3,2,3,4,1,0,2,N
112,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,0.25,2,3,2,3,4,1,0,2,N
113,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,0.25,2,3,2,3,4,1,0,2,N
114,1,5,1,1,0,8,3,0.3,4,1,0.33,13,1,0,9,0,0,0,11.8,10,1180.28,0.04,31,0.1,65.57,118.03,0.33,2,4,12,0.23,15,16,6,8,13,1,10,10,N
115,3,3,0,1,0,4,2,0.25,2,1,0.5,6,1,0,7,2,2,1,8.51,8,544.91,0.02,19,0.13,30.27,68.11,0.5,1,2,6,0.14,8,11,4,8,14,1,12.5,8,N
116,1,5,0,0,0,8,3,1.5,2,1,0.33,7,1,0,2,1,3,1,13.29,4.5,269.08,0.02,18,0.22,14.95,59.79,0.33,3,4,6,0.6,6,12,4,6,5,1,0,2,N
117,1,7,0,0,0,10,4,1.33,2,1,0.25,9,1,0,3,1,4,1,16.58,4.8,381.92,0.03,23,0.21,21.22,79.57,0.25,4,5,7,0.67,8,15,5,6,6,1,0,3,N
118,0,3,1,0,0,4,2,0.22,2,1,0.5,7,1,0,9,1,2,1,13.29,3.75,186.86,0.02,15,0.27,10.38,49.83,0.5,1,2,7,0.18,5,10,4,6,11,1,0,9,N
119,1,1,0,0,1,0,1,0.5,0,1,1,1,1,0,2,2,1,1,16.92,3.5,207.22,0.02,16,0.29,11.51,59.21,1,0,0,2,0.14,6,10,6,7,7,1,33.33,2,N
120,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,1,0,0,N
121,0,9,1,3,0,12,5,0.71,2,5,1,15,4,0.75,4,2,5,1,6.95,27.62,5307.06,0.06,47,0.04,294.84,192.11,0.8,5,8,12,0.5,17,30,4,13,10,1,42.86,7,N
122,0,1,0,0,0,0,1,0.2,0,1,1,1,1,0,5,0,0,0,2.67,1.5,6,0,4,0.67,0.33,4,1,0,0,2,0.17,3,1,1,1,6,1,0,5,N
123,0,1,0,0,0,0,1,0.2,0,1,1,1,1,0,5,0,1,1,3.7,3,33.28,0,7,0.33,1.85,11.09,1,0,0,2,0.17,3,4,1,2,6,1,0,5,N
124,0,1,0,0,0,0,1,0.2,0,1,1,1,1,0,5,0,1,1,2.67,1.5,6,0,4,0.67,0.33,4,1,0,0,2,0.17,3,1,1,1,6,1,0,5,N
125,0,1,0,0,0,0,1,0.2,0,1,1,1,1,0,5,0,1,1,16,0.5,4,0,4,2,0.22,8,1,0,0,2,0.13,3,1,3,1,8,1,0,5,N
126,1,1,1,1,0,0,1,0.17,0,1,1,2,1,0,5,0,1,1,14.17,12.8,2320.92,0.06,49,0.08,128.94,181.32,1,0,0,3,0.11,16,33,5,8,9,1,16.67,6,N
127,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,13.18,5.25,363.24,0.02,20,0.19,20.18,69.19,1,0,0,2,0.25,6,14,4,7,4,1,0,2,N
128,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,1,0,2,N
